Country_Region,date,confirmed,daily
US,2020-11-01,9237320,77861
US,2020-11-02,9319135,81815
US,2020-11-03,9443926,124791
US,2020-11-04,9544182,100256
US,2020-11-05,9672294,128112
US,2020-11-06,9799473,127179
US,2020-11-07,9926683,127210
US,2020-11-08,10046361,119678
US,2020-11-09,10163308,116947
US,2020-11-10,10300010,136702
US,2020-11-11,10447836,147826
US,2020-11-12,10606813,158977
US,2020-11-13,10786503,179690
US,2020-11-14,10950669,164166
US,2020-11-15,11090373,139704
US,2020-11-16,11243622,153249
US,2020-11-17,11408381,164759
US,2020-11-18,11580374,171993
US,2020-11-19,11772668,192294
US,2020-11-20,11974405,201737
US,2020-11-21,12154202,179797
US,2020-11-22,12300841,146639
US,2020-11-23,12482360,181519
US,2020-11-24,12655942,173582
US,2020-11-25,12836164,180222
US,2020-11-26,12953501,117337
US,2020-11-27,13167942,214441
US,2020-11-28,13336057,168115
US,2020-11-29,13476325,140268
US,2020-11-30,13631327,155002
